# CineStill 800T cs2 manufacturer comparison chart; printed log exposure, density; see PROCESS-SOURCES.md.
logExposure,red,green,blue
-4.000000,0.205882,0.599587,0.877709
-3.950000,0.205882,0.599587,0.877709
-3.900000,0.205882,0.599587,0.877709
-3.850000,0.205882,0.599587,0.877709
-3.800000,0.205882,0.599587,0.877709
-3.750000,0.205882,0.599587,0.884933
-3.700000,0.205882,0.599587,0.884933
-3.650000,0.205882,0.599587,0.884933
-3.600000,0.205882,0.599587,0.884933
-3.550000,0.205882,0.599587,0.884933
-3.500000,0.205882,0.599587,0.884933
-3.450000,0.205882,0.599587,0.892157
-3.400000,0.205882,0.599587,0.892157
-3.350000,0.205882,0.603199,0.899381
-3.300000,0.213106,0.606811,0.899886
-3.250000,0.213106,0.606811,0.906605
-3.200000,0.215201,0.610423,0.913829
-3.150000,0.220330,0.614035,0.923473
-3.100000,0.227554,0.617972,0.935501
-3.050000,0.234778,0.627923,0.942724
-3.000000,0.242002,0.635707,0.957172
-2.950000,0.250508,0.646543,0.972902
-2.900000,0.263674,0.660991,0.990077
-2.850000,0.277147,0.674951,1.007252
-2.800000,0.291197,0.689886,1.028039
-2.750000,0.308372,0.709301,1.047472
-2.700000,0.326017,0.730557,1.069143
-2.650000,0.346749,0.758099,1.089985
-2.600000,0.373044,0.786109,1.112487
-2.550000,0.397317,0.815547,1.137012
-2.500000,0.420072,0.842673,1.159985
-2.450000,0.447198,0.869799,1.184040
-2.400000,0.471940,0.896925,1.206398
-2.350000,0.496339,0.920439,1.231068
-2.300000,0.521352,0.947564,1.253968
-2.250000,0.548478,0.974690,1.278096
-2.200000,0.569536,1.001816,1.300310
-2.150000,0.595506,1.025330,1.325124
-2.100000,0.615408,1.051770,1.345026
-2.050000,0.642534,1.079582,1.372152
-2.000000,0.667131,1.109236,1.392054
-1.950000,0.691530,1.137446,1.413924
-1.900000,0.719541,1.168184,1.434711
-1.850000,0.743940,1.198922,1.458983
-1.800000,0.771950,1.233271,1.478885
-1.750000,0.798065,1.260397,1.498787
-1.700000,0.825191,1.291135,1.525913
-1.650000,0.848759,1.321873,1.553039
-1.600000,0.872219,1.348999,1.577492
-1.550000,0.899345,1.376125,1.601891
-1.500000,0.925568,1.403251,1.627193
-1.450000,0.946373,1.430359,1.654319
-1.400000,0.973498,1.453891,1.678700
-1.350000,0.998764,1.479156,1.701347
-1.300000,1.023163,1.500918,1.726522
-1.250000,1.047652,1.528044,1.748375
-1.200000,1.074778,1.552353,1.775501
-1.150000,1.099972,1.578684,1.798762
-1.100000,1.124370,1.605810,1.822528
-1.050000,1.148932,1.632773,1.849329
-1.000000,1.170279,1.657172,1.869556
-0.950000,1.193955,1.677959,1.891066
-0.900000,1.213622,1.702358,1.911852
-0.850000,1.231917,1.723380,1.936017
-0.800000,1.252704,1.746894,1.956388
-0.750000,1.275568,1.771943,1.977825
-0.700000,1.301502,1.801146,2.003416
-0.650000,1.329512,1.831576,2.030542
-0.600000,1.356945,1.862621,2.061280
-0.550000,1.384071,1.894822,2.088406
-0.500000,1.411197,1.922833,2.115531
-0.450000,1.437564,1.947232,2.139045
-0.400000,1.458225,1.971631,2.166171
-0.350000,1.478127,1.996029,2.193297
-0.300000,1.498029,2.016816,2.213199
-0.250000,1.517931,2.041667,2.240325
-0.200000,1.538266,2.065614,2.264272
-0.150000,1.562665,2.088695,2.287353
-0.100000,1.582043,2.110800,2.314479
-0.050000,1.603715,2.135199,2.334381
0.000000,1.621414,2.155986,2.361507
0.050000,1.640955,2.176772,2.381409
0.100000,1.659376,2.199690,2.403442
0.150000,1.676551,2.221362,2.427841
0.200000,1.693725,2.239133,2.448338
0.250000,1.708462,2.259920,2.468240
0.300000,1.722910,2.277095,2.486589
0.350000,1.737358,2.294938,2.503764
0.400000,1.747977,2.314840,2.521156
0.450000,1.759030,2.327518,2.541726
0.500000,1.767879,2.344169,2.555289
0.550000,1.774959,2.358617,2.569592
0.600000,1.784169,2.369453,2.582559
0.650000,1.790508,2.382872,2.597007
0.700000,1.796847,2.394737,2.611455
0.750000,1.803999,2.409185,2.625903
0.800000,1.813137,2.423488,2.640279
0.850000,1.816821,2.433511,2.653842
0.900000,1.827585,2.447074,2.669247
0.950000,1.838493,2.459752,2.684579
1.000000,1.838493,2.470588,2.698142
