# Kodak WRATTEN 2 measured diffuse-density curves, T=10^-D; censored D>=3 uses T=0.001 upper bound. See SOURCES.md.
wavelengthNM,yellow,orange,red,green,blue
400,0.001000,0.001000,0.001000,0.001000,0.120642
410,0.001000,0.001000,0.001000,0.001000,0.258153
420,0.001000,0.001000,0.001000,0.001000,0.413226
430,0.001000,0.001000,0.001000,0.001000,0.485020
440,0.001000,0.001000,0.001000,0.001000,0.491572
450,0.001000,0.001000,0.001000,0.001000,0.458057
460,0.006019,0.001000,0.001000,0.001000,0.401162
470,0.061553,0.001000,0.001000,0.006765,0.325856
480,0.226415,0.001000,0.001000,0.032972,0.240111
490,0.469023,0.001000,0.001000,0.113143,0.153489
500,0.668828,0.001000,0.001000,0.302615,0.079678
510,0.785065,0.022900,0.001000,0.489204,0.031138
520,0.840695,0.247991,0.001000,0.549702,0.008156
530,0.858721,0.603342,0.001000,0.524269,0.001370
540,0.869829,0.806748,0.001000,0.453749,0.001000
550,0.873996,0.881516,0.001000,0.357950,0.001000
560,0.877547,0.905584,0.001000,0.255162,0.001000
570,0.877802,0.913545,0.001000,0.155942,0.001000
580,0.881623,0.916069,0.009210,0.075116,0.001000
590,0.881623,0.918601,0.274961,0.027399,0.001000
600,0.885462,0.922420,0.708883,0.008560,0.001000
610,0.885462,0.925611,0.857065,0.002570,0.001000
620,0.885462,0.926254,0.887850,0.001000,0.001000
630,0.889317,0.921139,0.895586,0.001000,0.001000
640,0.889317,0.914798,0.911529,0.001000,0.001000
650,0.893189,0.919239,0.903688,0.001000,0.001000
660,0.893189,0.928169,0.911328,0.001000,0.001000
670,0.893189,0.921560,0.915794,0.001000,0.001000
680,0.897078,0.915852,0.911763,0.001000,0.001000
690,0.897078,0.927948,0.919403,0.001000,0.001013
700,0.897078,0.923685,0.915558,0.001000,0.003530
