# Foma FOMAPAN 100 Classic datasheet, page 1, Characteristic curve for 7 minutes, anchored at the ISO speed point; 600 dpi trace. See SOURCES.md.
logExposure,density
-2.271017,0.262202
-2.251017,0.266652
-2.231017,0.275732
-2.211017,0.285902
-2.191017,0.296073
-2.171017,0.307378
-2.151017,0.320954
-2.131017,0.335346
-2.111017,0.351510
-2.091017,0.368658
-2.071017,0.386152
-2.051017,0.406493
-2.031017,0.425698
-2.011017,0.446039
-1.991017,0.466379
-1.971017,0.486720
-1.951017,0.507060
-1.931017,0.527401
-1.911017,0.548377
-1.891017,0.570352
-1.871017,0.590693
-1.851017,0.613303
-1.831017,0.633644
-1.811017,0.656254
-1.791017,0.676595
-1.771017,0.699206
-1.751017,0.720636
-1.731017,0.742157
-1.711017,0.764767
-1.691017,0.785108
-1.671017,0.807362
-1.651017,0.828059
-1.631017,0.850670
-1.611017,0.871010
-1.591017,0.891351
-1.571017,0.910556
-1.551017,0.930897
-1.531017,0.950102
-1.511017,0.970443
-1.491017,0.982338
-1.471017,1.018615
-1.451017,1.028059
-1.431017,1.048400
-1.411017,1.067605
-1.391017,1.086811
-1.371017,1.106016
-1.351017,1.125221
-1.331017,1.144427
-1.311017,1.164767
-1.291017,1.183973
-1.271017,1.203178
-1.251017,1.223519
-1.231017,1.243859
-1.211017,1.264200
-1.191017,1.284540
-1.171017,1.304881
-1.151017,1.325221
-1.131017,1.344427
-1.111017,1.364767
-1.091017,1.383787
-1.071017,1.403178
-1.051017,1.423519
-1.031017,1.442724
-1.011017,1.461930
-0.991017,1.481135
-0.971017,1.500341
-0.951017,1.518411
-0.931017,1.538752
-0.911017,1.556822
-0.891017,1.575755
-0.871017,1.595233
-0.851017,1.613303
-0.831017,1.632509
-0.811017,1.651714
-0.791017,1.669784
-0.771017,1.688990
-0.751017,1.708195
-0.731017,1.726266
-0.711017,1.744336
-0.691017,1.762588
-0.671017,1.781839
-0.651017,1.800817
-0.631017,1.816935
-0.611017,1.834688
-0.591017,1.852758
-0.571017,1.870829
-0.551017,1.888263
-0.531017,1.904699
-0.511017,1.922770
-0.491017,1.939705
-0.471017,1.956640
-0.451017,1.972441
-0.431017,1.982202
-0.411017,2.015891
-0.391017,2.023837
-0.371017,2.038820
-0.351017,2.054665
-0.331017,2.070511
-0.311017,2.086356
-0.291017,2.102202
-0.271017,2.116913
-0.251017,2.131623
-0.231017,2.147378
-0.211017,2.163178
-0.191017,2.177072
-0.171017,2.192509
-0.151017,2.207446
-0.131017,2.221839
-0.111017,2.236867
-0.091017,2.252322
-0.071017,2.266970
-0.051017,2.281498
-0.031017,2.296300
-0.011017,2.310420
0.008983,2.325131
0.028983,2.338706
0.048983,2.352282
0.068983,2.365857
0.088983,2.378615
0.108983,2.392145
0.128983,2.404450
0.148983,2.417332
0.168983,2.430214
0.188983,2.442770
0.208983,2.455256
0.228983,2.466916
0.248983,2.478881
0.268983,2.490846
0.288983,2.502811
0.308983,2.514188
0.328983,2.525902
0.348983,2.536751
0.368983,2.547599
0.388983,2.558447
0.408983,2.569296
0.428983,2.580144
0.448983,2.590874
0.468983,2.592509
0.488983,2.592509
0.508983,2.592509
0.528983,2.592509
0.548983,2.592509
0.568983,2.592509
0.588983,2.592509
0.608983,2.592509
0.628983,2.592509
