# Foma FOMAPAN 100 Classic datasheet, page 1, relative spectral sensitivity; shape traced, scale assumed. See SOURCES.md.
wavelengthNM,sensitivity
400,1.758058
410,1.883221
420,2.098794
430,2.226805
440,2.289936
450,2.417428
460,2.547892
470,2.515720
480,2.477649
490,2.483954
500,2.570190
510,2.770798
520,3.279239
530,3.634744
540,3.664525
550,3.613729
560,3.782261
570,4.175538
580,4.279042
590,3.941735
600,4.040581
610,4.344793
620,4.719932
630,5.180619
640,5.517240
650,3.721926
660,1.691722
670,1.049473
680,0.000000
690,0.000000
700,0.000000
