# Kodak E-4051, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.028436,0.616024
-3.008436,0.616100
-2.988436,0.616133
-2.968436,0.616139
-2.948436,0.616139
-2.928436,0.616142
-2.908436,0.616173
-2.888436,0.616247
-2.868436,0.616384
-2.848436,0.616604
-2.828436,0.616930
-2.808436,0.617333
-2.788436,0.617830
-2.768436,0.618416
-2.748436,0.619082
-2.728436,0.619816
-2.708436,0.620604
-2.688436,0.621431
-2.668436,0.622280
-2.648436,0.623136
-2.628436,0.623875
-2.608436,0.624425
-2.588436,0.624890
-2.568436,0.625363
-2.548436,0.625931
-2.528436,0.626680
-2.508436,0.627695
-2.488436,0.629061
-2.468436,0.630867
-2.448436,0.633208
-2.428436,0.635974
-2.408436,0.639012
-2.388436,0.642341
-2.368436,0.645981
-2.348436,0.649954
-2.328436,0.654285
-2.308436,0.658998
-2.288436,0.664123
-2.268436,0.669692
-2.248436,0.675738
-2.228436,0.682244
-2.208436,0.689262
-2.188436,0.696765
-2.168436,0.704722
-2.148436,0.713094
-2.128436,0.721840
-2.108436,0.730915
-2.088436,0.740270
-2.068436,0.749858
-2.048436,0.759645
-2.028436,0.769878
-2.008436,0.780574
-1.988436,0.791637
-1.968436,0.802974
-1.948436,0.814495
-1.928436,0.826111
-1.908436,0.837734
-1.888436,0.849280
-1.868436,0.860661
-1.848436,0.871802
-1.828436,0.882836
-1.808436,0.893839
-1.788436,0.904811
-1.768436,0.915755
-1.748436,0.926670
-1.728436,0.937558
-1.708436,0.948421
-1.688436,0.959258
-1.668436,0.970071
-1.648436,0.980860
-1.628436,0.991618
-1.608436,1.002336
-1.588436,1.013021
-1.568436,1.023681
-1.548436,1.034323
-1.528436,1.044955
-1.508436,1.055583
-1.488436,1.066217
-1.468436,1.076863
-1.448436,1.087530
-1.428436,1.098266
-1.408436,1.109028
-1.388436,1.119807
-1.368436,1.130595
-1.348436,1.141383
-1.328436,1.152164
-1.308436,1.162929
-1.288436,1.173670
-1.268436,1.184379
-1.248436,1.195045
-1.228436,1.205631
-1.208436,1.216149
-1.188436,1.226618
-1.168436,1.237060
-1.148436,1.247496
-1.128436,1.257944
-1.108436,1.268427
-1.088436,1.278963
-1.068436,1.289574
-1.048436,1.300284
-1.028436,1.311104
-1.008436,1.322003
-0.988436,1.332971
-0.968436,1.343993
-0.948436,1.355056
-0.928436,1.366146
-0.908436,1.377249
-0.888436,1.388351
-0.868436,1.399438
-0.848436,1.410492
-0.828436,1.421521
-0.808436,1.432556
-0.788436,1.443597
-0.768436,1.454644
-0.748436,1.465696
-0.728436,1.476753
-0.708436,1.487815
-0.688436,1.498883
-0.668436,1.509955
-0.648436,1.521035
-0.628436,1.532129
-0.608436,1.543233
-0.588436,1.554347
-0.568436,1.565470
-0.548436,1.576601
-0.528436,1.587739
-0.508436,1.598883
-0.488436,1.610033
-0.468436,1.621188
-0.448436,1.632334
-0.428436,1.643437
-0.408436,1.654541
-0.388436,1.665649
-0.368436,1.676765
-0.348436,1.687892
-0.328436,1.699035
-0.308436,1.710196
-0.288436,1.721379
-0.268436,1.732589
-0.248436,1.743824
-0.228436,1.755135
-0.208436,1.766560
-0.188436,1.778057
-0.168436,1.789586
-0.148436,1.801102
-0.128436,1.812565
-0.108436,1.823930
-0.088436,1.835157
-0.068436,1.846203
-0.048436,1.857021
-0.028436,1.867593
-0.008436,1.877971
0.011564,1.888195
0.031564,1.898304
0.051564,1.908339
0.071564,1.918339
0.091564,1.928343
0.111564,1.938390
0.131564,1.948522
0.151564,1.958772
0.171564,1.969103
0.191564,1.979485
0.211564,1.989905
0.231564,2.000349
0.251564,2.010805
0.271564,2.021260
0.291564,2.031701
0.311564,2.042116
0.331564,2.052491
0.351564,2.062818
0.371564,2.073117
0.391564,2.083397
0.411564,2.093660
0.431564,2.103908
0.451564,2.114143
0.471564,2.124369
0.491564,2.134587
0.511564,2.144799
0.531564,2.155007
0.551564,2.165220
0.571564,2.175457
0.591564,2.185705
0.611564,2.195953
0.631564,2.206192
0.651564,2.216409
0.671564,2.226597
0.691564,2.236744
0.711564,2.246840
0.731564,2.256876
0.751564,2.266849
0.771564,2.276765
0.791564,2.286619
0.811564,2.296421
0.831564,2.306184
0.851564,2.315916
0.871564,2.325629
0.891564,2.335332
0.911564,2.345036
0.931564,2.354751
0.951564,2.364487
