# Kodak E-4051, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.028436,0.200021
-3.008436,0.200141
-2.988436,0.200213
-2.968436,0.200261
-2.948436,0.200304
-2.928436,0.200363
-2.908436,0.200460
-2.888436,0.200617
-2.868436,0.200858
-2.848436,0.201208
-2.828436,0.201698
-2.808436,0.202358
-2.788436,0.203163
-2.768436,0.204092
-2.748436,0.205119
-2.728436,0.206213
-2.708436,0.207342
-2.688436,0.208470
-2.668436,0.209566
-2.648436,0.210603
-2.628436,0.211530
-2.608436,0.212311
-2.588436,0.213018
-2.568436,0.213717
-2.548436,0.214471
-2.528436,0.215342
-2.508436,0.216387
-2.488436,0.217669
-2.468436,0.219249
-2.448436,0.221194
-2.428436,0.223368
-2.408436,0.225654
-2.388436,0.228094
-2.368436,0.230730
-2.348436,0.233605
-2.328436,0.236764
-2.308436,0.240253
-2.288436,0.244122
-2.268436,0.248421
-2.248436,0.253209
-2.228436,0.258528
-2.208436,0.264295
-2.188436,0.270490
-2.168436,0.277090
-2.148436,0.284066
-2.128436,0.291385
-2.108436,0.299013
-2.088436,0.306910
-2.068436,0.315039
-2.048436,0.323388
-2.028436,0.332211
-2.008436,0.341490
-1.988436,0.351130
-1.968436,0.361040
-1.948436,0.371132
-1.928436,0.381319
-1.908436,0.391515
-1.888436,0.401635
-1.868436,0.411596
-1.848436,0.421314
-1.828436,0.430863
-1.808436,0.440340
-1.788436,0.449771
-1.768436,0.459181
-1.748436,0.468596
-1.728436,0.478039
-1.708436,0.487538
-1.688436,0.497116
-1.668436,0.506800
-1.648436,0.516615
-1.628436,0.526501
-1.608436,0.536472
-1.588436,0.546521
-1.568436,0.556642
-1.548436,0.566828
-1.528436,0.577074
-1.508436,0.587371
-1.488436,0.597715
-1.468436,0.608099
-1.448436,0.618516
-1.428436,0.629021
-1.408436,0.639632
-1.388436,0.650326
-1.368436,0.661079
-1.348436,0.671867
-1.328436,0.682663
-1.308436,0.693444
-1.288436,0.704184
-1.268436,0.714859
-1.248436,0.725445
-1.228436,0.735940
-1.208436,0.746380
-1.188436,0.756779
-1.168436,0.767154
-1.148436,0.777517
-1.128436,0.787883
-1.108436,0.798266
-1.088436,0.808681
-1.068436,0.819141
-1.048436,0.829663
-1.028436,0.840243
-1.008436,0.850882
-0.988436,0.861570
-0.968436,0.872292
-0.948436,0.883035
-0.928436,0.893785
-0.908436,0.904529
-0.888436,0.915252
-0.868436,0.925942
-0.848436,0.936588
-0.828436,0.947198
-0.808436,0.957780
-0.788436,0.968343
-0.768436,0.978897
-0.748436,0.989452
-0.728436,1.000018
-0.708436,1.010605
-0.688436,1.021221
-0.668436,1.031878
-0.648436,1.042588
-0.628436,1.053343
-0.608436,1.064125
-0.588436,1.074936
-0.568436,1.085773
-0.548436,1.096637
-0.528436,1.107528
-0.508436,1.118444
-0.488436,1.129386
-0.468436,1.140353
-0.448436,1.151343
-0.428436,1.162359
-0.408436,1.173408
-0.388436,1.184486
-0.368436,1.195589
-0.348436,1.206711
-0.328436,1.217850
-0.308436,1.229000
-0.288436,1.240158
-0.268436,1.251319
-0.248436,1.262481
-0.228436,1.273747
-0.208436,1.285136
-0.188436,1.296593
-0.168436,1.308065
-0.148436,1.319494
-0.128436,1.330825
-0.108436,1.342002
-0.088436,1.352971
-0.068436,1.363675
-0.048436,1.374068
-0.028436,1.384178
-0.008436,1.394040
0.011564,1.403689
0.031564,1.413160
0.051564,1.422486
0.071564,1.431701
0.091564,1.440841
0.111564,1.449940
0.131564,1.459031
0.151564,1.468147
0.171564,1.477253
0.191564,1.486319
0.211564,1.495334
0.231564,1.504289
0.251564,1.513176
0.271564,1.521984
0.291564,1.530705
0.311564,1.539329
0.331564,1.547847
0.351564,1.556237
0.371564,1.564466
0.391564,1.572567
0.411564,1.580558
0.431564,1.588453
0.451564,1.596270
0.471564,1.604024
0.491564,1.611733
0.511564,1.619412
0.531564,1.627078
0.551564,1.634740
0.571564,1.642358
0.591564,1.649925
0.611564,1.657448
0.631564,1.664931
0.651564,1.672380
0.671564,1.679799
0.691564,1.687194
0.711564,1.694570
0.731564,1.701931
0.751564,1.709273
0.771564,1.716547
0.791564,1.723778
0.811564,1.730976
0.831564,1.738147
0.851564,1.745300
0.871564,1.752443
0.891564,1.759582
0.911564,1.766725
0.931564,1.773880
0.951564,1.781055
