# Kodak E-4051, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,11.019956,74.669843
410,0.000000,10.241431,78.145510
420,0.000000,9.476960,82.346846
430,0.000000,7.266663,75.533977
440,0.000000,7.120667,87.156026
450,0.000000,6.210601,76.393997
460,0.000000,6.464248,89.658387
470,0.000000,6.982070,106.224985
480,0.000000,10.652039,50.357650
490,1.108914,15.995916,7.236154
500,1.208310,22.755491,2.408473
510,1.557533,27.139125,1.004865
520,1.951819,32.956200,0.000000
530,2.050987,41.135559,0.000000
540,1.982119,54.848927,0.000000
550,2.555382,70.383509,0.000000
560,4.307709,57.526242,0.000000
570,7.124207,44.449830,0.000000
580,18.824224,21.504390,0.000000
590,36.807242,4.034084,0.000000
600,55.861107,0.000000,0.000000
610,75.352402,0.000000,0.000000
620,88.470488,0.000000,0.000000
630,95.596164,0.000000,0.000000
640,64.622706,0.000000,0.000000
650,15.885552,0.000000,0.000000
660,9.696565,0.000000,0.000000
670,2.268316,0.000000,0.000000
680,0.000000,0.000000,0.000000
690,0.000000,0.000000,0.000000
700,0.000000,0.000000,0.000000
