# Kodak E-4050, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
wavelengthNM,minimum,midscale
400,0.695106,1.329309
410,0.674641,1.406306
420,0.740137,1.605880
430,0.794790,1.787727
440,0.817782,1.872636
450,0.816155,1.889427
460,0.800434,1.866508
470,0.782720,1.790208
480,0.765371,1.686572
490,0.744435,1.597027
500,0.758460,1.588925
510,0.789078,1.644038
520,0.741980,1.637444
530,0.660285,1.615735
540,0.624418,1.623913
550,0.603289,1.581867
560,0.577481,1.444096
570,0.520857,1.229022
580,0.425410,1.004239
590,0.318393,0.833972
600,0.240665,0.748483
610,0.205125,0.741025
620,0.193782,0.784132
630,0.189271,0.848923
640,0.188957,0.927088
650,0.195047,1.013189
660,0.201007,1.095819
670,0.209416,1.170727
680,0.215440,1.228760
690,0.220538,1.265873
700,0.220417,1.270371
