# Kodak E-4050, revised 2-16, page 4; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.440240,0.866575
-3.340030,0.869176
-3.239820,0.873100
-3.190271,0.874379
-3.140776,0.875723
-3.090088,0.878346
-3.040539,0.883506
-2.991044,0.891397
-2.940329,0.900480
-2.890807,0.912251
-2.840147,0.926603
-2.814803,0.935751
-2.789459,0.944856
-2.739937,0.967076
-2.689249,0.990554
-2.639727,1.016655
-2.590178,1.044078
-2.540683,1.072780
-2.489995,1.104106
-2.440473,1.134109
-2.240026,1.259388
-2.039634,1.384668
-1.840353,1.509970
-1.639960,1.636594
-1.439568,1.763152
-1.240286,1.889733
-1.039867,2.017636
-0.840586,2.145517
-0.640166,2.273442
-0.439746,2.401323
-0.340702,2.465231
-0.240493,2.529204
-0.040100,2.659708
0.160320,2.788890
0.259418,2.852885
0.359573,2.918116
0.459810,2.983367
0.559993,3.049920
