# Fujifilm AF3-036E, page 5, Characteristic Curves; raster/vector digitisation. See SOURCES.md.
logExposure,density
-3.400000,3.333331
-3.350000,3.332435
-3.300000,3.331897
-3.250000,3.331897
-3.200000,3.331897
-3.150000,3.331897
-3.100000,3.331897
-3.050000,3.331897
-3.000000,3.331897
-2.950000,3.331897
-2.900000,3.330045
-2.850000,3.327058
-2.800000,3.321682
-2.750000,3.316754
-2.700000,3.305169
-2.650000,3.297153
-2.600000,3.283600
-2.550000,3.274975
-2.500000,3.255246
-2.450000,3.240141
-2.400000,3.209547
-2.350000,3.179807
-2.300000,3.139962
-2.250000,3.104209
-2.200000,3.049879
-2.150000,3.005211
-2.100000,2.955750
-2.050000,2.891666
-2.000000,2.818770
-1.950000,2.734902
-1.900000,2.637310
-1.850000,2.536382
-1.800000,2.438065
-1.750000,2.337807
-1.700000,2.238727
-1.650000,2.143402
-1.600000,2.047226
-1.550000,1.950951
-1.500000,1.856076
-1.450000,1.763284
-1.400000,1.673241
-1.350000,1.583068
-1.300000,1.495682
-1.250000,1.407239
-1.200000,1.321206
-1.150000,1.236668
-1.100000,1.153826
-1.050000,1.071569
-1.000000,0.988031
-0.950000,0.910761
-0.900000,0.836626
-0.850000,0.766962
-0.800000,0.701058
-0.750000,0.639022
-0.700000,0.577888
-0.650000,0.520968
-0.600000,0.464815
-0.550000,0.409907
-0.500000,0.358344
-0.450000,0.312499
-0.400000,0.273833
-0.350000,0.240397
-0.300000,0.210884
-0.250000,0.186944
-0.200000,0.165969
-0.150000,0.150029
-0.100000,0.134925
-0.050000,0.121545
-0.000000,0.110620
0.050000,0.100506
0.100000,0.092142
0.150000,0.088302
0.200000,0.085129
0.250000,0.085129
0.300000,0.085129
0.350000,0.085129
0.400000,0.085129
0.450000,0.085129
0.500000,0.085129
0.550000,0.085129
0.600000,0.085129
0.650000,0.085129
0.700000,0.085129
0.750000,0.085129
0.800000,0.085129
