# Fujifilm AF3-036E, page 5, Characteristic Curves; raster/vector digitisation. See SOURCES.md.
logExposure,density
-3.400000,3.418456
-3.350000,3.418456
-3.300000,3.418456
-3.250000,3.418456
-3.200000,3.418456
-3.150000,3.418456
-3.100000,3.418456
-3.050000,3.418456
-3.000000,3.418456
-2.950000,3.418456
-2.900000,3.418456
-2.850000,3.418456
-2.800000,3.418456
-2.750000,3.415768
-2.700000,3.413080
-2.650000,3.403335
-2.600000,3.396652
-2.550000,3.385302
-2.500000,3.369263
-2.450000,3.349012
-2.400000,3.328978
-2.350000,3.295808
-2.300000,3.267919
-2.250000,3.231091
-2.200000,3.188954
-2.150000,3.142583
-2.100000,3.073833
-2.050000,3.004180
-2.000000,2.929210
-1.950000,2.834049
-1.900000,2.733571
-1.850000,2.636797
-1.800000,2.530286
-1.750000,2.421146
-1.700000,2.323177
-1.650000,2.216308
-1.600000,2.105137
-1.550000,2.003286
-1.500000,1.895183
-1.450000,1.795776
-1.400000,1.696570
-1.350000,1.596725
-1.300000,1.500507
-1.250000,1.410141
-1.200000,1.323868
-1.150000,1.239435
-1.100000,1.156548
-1.050000,1.074236
-1.000000,0.990708
-0.950000,0.913215
-0.900000,0.838991
-0.850000,0.769156
-0.800000,0.703065
-0.750000,0.641148
-0.700000,0.579729
-0.650000,0.522869
-0.600000,0.466534
-0.550000,0.411737
-0.500000,0.359900
-0.450000,0.313900
-0.400000,0.275015
-0.350000,0.241409
-0.300000,0.211863
-0.250000,0.187592
-0.200000,0.166606
-0.150000,0.150520
-0.100000,0.135383
-0.050000,0.121901
-0.000000,0.111030
0.050000,0.100780
0.100000,0.092310
0.150000,0.088465
0.200000,0.085130
0.250000,0.085129
0.300000,0.085129
0.350000,0.085129
0.400000,0.085129
0.450000,0.085129
0.500000,0.085129
0.550000,0.085129
0.600000,0.085129
0.650000,0.085129
0.700000,0.085129
0.750000,0.085129
0.800000,0.085129
