# Fujifilm AF3-036E, page 5, Characteristic Curves; raster/vector digitisation. See SOURCES.md.
logExposure,density
-3.400000,3.286736
-3.350000,3.286736
-3.300000,3.286736
-3.250000,3.286736
-3.200000,3.286736
-3.150000,3.286736
-3.100000,3.286736
-3.050000,3.286736
-3.000000,3.286736
-2.950000,3.286467
-2.900000,3.284048
-2.850000,3.277178
-2.800000,3.270069
-2.750000,3.261646
-2.700000,3.252387
-2.650000,3.241843
-2.600000,3.229388
-2.550000,3.216545
-2.500000,3.199639
-2.450000,3.180404
-2.400000,3.158779
-2.350000,3.132614
-2.300000,3.102746
-2.250000,3.069263
-2.200000,3.032555
-2.150000,2.992232
-2.100000,2.945339
-2.050000,2.885004
-2.000000,2.818696
-1.950000,2.737543
-1.900000,2.639186
-1.850000,2.542114
-1.800000,2.441576
-1.750000,2.339904
-1.700000,2.244324
-1.650000,2.147222
-1.600000,2.049582
-1.550000,1.956691
-1.500000,1.860126
-1.450000,1.765532
-1.400000,1.679212
-1.350000,1.587008
-1.300000,1.498209
-1.250000,1.413084
-1.200000,1.325181
-1.150000,1.239249
-1.100000,1.159500
-1.050000,1.075719
-1.000000,0.990743
-0.950000,0.916071
-0.900000,0.840504
-0.850000,0.769417
-0.800000,0.705498
-0.750000,0.642655
-0.700000,0.580051
-0.650000,0.525391
-0.600000,0.467924
-0.550000,0.412189
-0.500000,0.362010
-0.450000,0.315236
-0.400000,0.275392
-0.350000,0.241312
-0.300000,0.211174
-0.250000,0.187877
-0.200000,0.166581
-0.150000,0.150243
-0.100000,0.135607
-0.050000,0.121957
-0.000000,0.110816
0.050000,0.100959
0.100000,0.092387
0.150000,0.088415
0.200000,0.085129
0.250000,0.085129
0.300000,0.085129
0.350000,0.085129
0.400000,0.085129
0.450000,0.085129
0.500000,0.085129
0.550000,0.085129
0.600000,0.085129
0.650000,0.085129
0.700000,0.085129
0.750000,0.085129
0.800000,0.085129
