# Fujifilm AF3-036E, page 5, Spectral Sensitivity Curves; raster/vector digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,0.000000,1.688606
410,0.000000,0.000000,7.066454
420,0.000000,0.000000,8.849631
430,0.000000,0.000000,9.078713
440,0.000000,0.000000,9.736919
450,0.000000,0.000000,11.763080
460,0.000000,0.000000,11.890641
470,0.000000,0.000000,7.954545
480,0.000000,0.327352,3.060472
490,0.000000,0.697201,0.848455
500,0.000000,1.369293,0.232334
510,0.000000,2.230359,0.000000
520,0.000000,3.439601,0.000000
530,0.000000,4.879475,0.000000
540,0.000000,6.409212,0.000000
550,0.000000,6.232164,0.000000
560,0.000000,5.587635,0.000000
570,0.000000,5.934017,0.000000
580,0.420722,5.957961,0.000000
590,0.968236,1.678886,0.000000
600,2.039956,0.000000,0.000000
610,2.697226,0.000000,0.000000
620,3.773369,0.000000,0.000000
630,6.152133,0.000000,0.000000
640,9.908280,0.000000,0.000000
650,7.636222,0.000000,0.000000
660,1.978071,0.000000,0.000000
670,0.287580,0.000000,0.000000
680,0.000000,0.000000,0.000000
690,0.000000,0.000000,0.000000
700,0.000000,0.000000,0.000000
