# Kodak E-4070, March 2013, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,red,green,blue
-3.000000,0.105460,0.105541,0.079737
-2.970000,0.105460,0.105541,0.079737
-2.940000,0.105460,0.105541,0.079737
-2.910000,0.105460,0.105541,0.079737
-2.880000,0.105460,0.105541,0.079737
-2.850000,0.105460,0.105541,0.079737
-2.820000,0.105460,0.105541,0.079737
-2.790000,0.105460,0.105541,0.079737
-2.760000,0.105460,0.105541,0.079737
-2.730000,0.105460,0.105541,0.079737
-2.700000,0.105460,0.105541,0.079737
-2.670000,0.105460,0.105541,0.079737
-2.640000,0.105460,0.105541,0.079737
-2.610000,0.105460,0.105541,0.079737
-2.580000,0.105460,0.105541,0.079737
-2.550000,0.105460,0.105541,0.079737
-2.520000,0.105460,0.105541,0.079737
-2.490000,0.105460,0.105541,0.079737
-2.460000,0.105460,0.105541,0.079737
-2.430000,0.105460,0.105541,0.079737
-2.400000,0.105460,0.105541,0.079737
-2.370000,0.105460,0.105541,0.079737
-2.340000,0.105460,0.105541,0.079737
-2.310000,0.105460,0.105541,0.079737
-2.280000,0.105460,0.105541,0.079737
-2.250000,0.105460,0.105541,0.079737
-2.220000,0.105460,0.105541,0.079830
-2.190000,0.105460,0.105541,0.080121
-2.160000,0.105497,0.105723,0.080495
-2.130000,0.105992,0.106223,0.081001
-2.100000,0.106662,0.106889,0.081686
-2.070000,0.107216,0.107517,0.082312
-2.040000,0.107685,0.108001,0.082819
-2.010000,0.108437,0.108785,0.083607
-1.980000,0.109844,0.110316,0.085075
-1.950000,0.112277,0.113040,0.087626
-1.920000,0.115086,0.116152,0.090580
-1.890000,0.117973,0.119364,0.093609
-1.860000,0.121995,0.123846,0.097798
-1.830000,0.128212,0.130772,0.104234
-1.800000,0.137685,0.141321,0.114008
-1.770000,0.149307,0.154240,0.125754
-1.740000,0.162369,0.168805,0.138742
-1.710000,0.178506,0.186811,0.155027
-1.680000,0.199359,0.210060,0.176668
-1.650000,0.226574,0.240360,0.205735
-1.620000,0.259159,0.276712,0.241029
-1.590000,0.296038,0.317924,0.281257
-1.560000,0.338660,0.365443,0.328061
-1.530000,0.388472,0.420718,0.383083
-1.500000,0.446923,0.485195,0.447962
-1.470000,0.513950,0.559645,0.523410
-1.440000,0.588433,0.642887,0.608184
-1.410000,0.670682,0.734067,0.701430
-1.380000,0.761015,0.832342,0.802299
-1.350000,0.859753,0.936872,0.909953
-1.320000,0.969638,1.051913,1.028959
-1.290000,1.090220,1.177852,1.159783
-1.260000,1.217707,1.308540,1.295712
-1.230000,1.348325,1.437853,1.430065
-1.200000,1.478314,1.559684,1.556174
-1.170000,1.613178,1.677234,1.677869
-1.140000,1.755275,1.794432,1.799404
-1.110000,1.896600,1.906639,1.915253
-1.080000,2.029170,2.009230,2.019900
-1.050000,2.145006,2.097574,2.107827
-1.020000,2.243161,2.169677,2.175451
-0.990000,2.328792,2.228436,2.227127
-0.960000,2.403425,2.277007,2.267909
-0.930000,2.468571,2.318534,2.301764
-0.900000,2.525732,2.356146,2.332335
-0.870000,2.573292,2.388801,2.358435
-0.840000,2.610042,2.414283,2.377321
-0.810000,2.638666,2.434340,2.391000
-0.780000,2.661836,2.450717,2.401471
-0.750000,2.682219,2.465150,2.410729
-0.720000,2.698350,2.476587,2.417844
-0.690000,2.708339,2.483823,2.421416
-0.660000,2.714565,2.488505,2.422932
-0.630000,2.719401,2.492272,2.423872
-0.600000,2.725212,2.496760,2.425711
-0.570000,2.732272,2.502052,2.428592
-0.540000,2.738986,2.507111,2.431512
-0.510000,2.745009,2.511752,2.434293
-0.480000,2.750002,2.515797,2.436760
-0.450000,2.753625,2.519062,2.438737
-0.420000,2.755757,2.521470,2.440237
-0.390000,2.756553,2.523172,2.441387
-0.360000,2.756553,2.524212,2.442171
-0.330000,2.756553,2.524637,2.442572
-0.300000,2.756553,2.524637,2.442576
-0.270000,2.756553,2.524637,2.442576
-0.240000,2.756553,2.524637,2.442576
-0.210000,2.756553,2.524637,2.442576
-0.180000,2.756553,2.524637,2.442576
-0.150000,2.756553,2.524637,2.442576
-0.120000,2.756553,2.524637,2.442576
-0.090000,2.756553,2.524637,2.442576
-0.060000,2.756553,2.524637,2.442576
-0.030000,2.756553,2.524637,2.442576
0.000000,2.756553,2.524637,2.442576
