# Kodak E-4070, March 2013, page 5 Spectral-Dye-Density Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,cyan,magenta,yellow
400,0.121698,0.078899,0.587741
410,0.093700,0.066295,0.722059
420,0.065412,0.055792,0.831935
430,0.048244,0.054975,0.936616
440,0.037155,0.063783,0.997064
450,0.029741,0.085224,0.984875
460,0.028411,0.124527,0.927379
470,0.029740,0.184605,0.820525
480,0.032071,0.265824,0.671018
490,0.035369,0.372396,0.509102
500,0.041171,0.506899,0.360349
510,0.048581,0.654428,0.241293
520,0.059965,0.786583,0.156955
530,0.078452,0.884629,0.099849
540,0.108478,0.961408,0.063831
550,0.155664,1.000382,0.041978
560,0.222843,0.943536,0.027136
570,0.302119,0.778622,0.016329
580,0.407793,0.556517,0.010051
590,0.544307,0.358146,0.007839
600,0.698758,0.215985,0.008137
610,0.830348,0.126759,0.008936
620,0.903148,0.076778,0.009669
630,0.943976,0.048667,0.009669
640,0.982014,0.031912,0.010483
650,0.999869,0.022677,0.010049
660,0.955711,0.016345,0.009670
670,0.852306,0.013507,0.008137
680,0.701913,0.010579,0.006673
690,0.547981,0.009303,0.005262
700,0.421400,0.007988,0.004449
