# Kodak E-4070, March 2013, page 4 Spectral-Sensitivity Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,0.000000,3.941931
410,0.000000,0.000000,4.063753
420,0.000000,0.000000,4.102246
430,0.000000,0.149566,6.331274
440,0.000000,0.206489,9.239266
450,0.000000,0.291815,11.688141
460,0.000000,0.431356,21.708270
470,0.000000,0.571218,42.070534
480,0.000000,0.855464,23.158761
490,0.000000,1.609823,2.099039
500,0.000000,2.575324,0.210331
510,0.000000,2.745658,0.027847
520,0.000000,2.580660,0.000000
530,0.000000,3.577279,0.000000
540,0.024440,6.451076,0.000000
550,0.025639,13.782202,0.000000
560,0.029237,1.463005,0.000000
570,0.030137,0.110451,0.000000
580,0.039625,0.035522,0.000000
590,0.048844,0.000000,0.000000
600,0.061014,0.000000,0.000000
610,0.090731,0.000000,0.000000
620,0.139488,0.000000,0.000000
630,0.208343,0.000000,0.000000
640,0.241730,0.000000,0.000000
650,0.238612,0.000000,0.000000
660,0.272581,0.000000,0.000000
670,0.415021,0.000000,0.000000
680,0.651068,0.000000,0.000000
690,0.888339,0.000000,0.000000
700,0.868893,0.000000,0.000000
