# Kodak F-4016, revised 2-16, page 8; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.149919,0.242553
-3.079512,0.244667
-3.017480,0.246422
-2.962872,0.247935
-2.914472,0.249236
-2.871761,0.250520
-2.833550,0.251691
-2.798808,0.252861
-2.766639,0.254260
-2.736206,0.255658
-2.707128,0.257301
-2.679052,0.259170
-2.652141,0.261284
-2.625989,0.263626
-2.600434,0.266195
-2.575095,0.269122
-2.550136,0.272407
-2.525149,0.276033
-2.500190,0.280017
-2.475230,0.284358
-2.450054,0.289268
-2.425095,0.294423
-2.400136,0.300146
-2.375149,0.306358
-2.350189,0.313024
-2.325230,0.320276
-2.300244,0.327886
-2.275285,0.336195
-2.250136,0.344846
-2.225149,0.353983
-2.200189,0.363691
-2.175230,0.373870
-2.150271,0.384521
-2.125285,0.395642
-2.100325,0.407220
-2.075366,0.419171
-2.050190,0.431560
-2.025230,0.444325
-2.000244,0.457545
-1.975285,0.471122
-1.950325,0.484927
-1.925366,0.499203
-1.900379,0.513724
-1.875420,0.528341
-1.850271,0.543317
-1.825285,0.558309
-1.800326,0.573398
-1.775366,0.588504
-1.750407,0.603593
-1.725420,0.618569
-1.700460,0.633545
-1.675501,0.648407
-1.650325,0.663155
-1.625366,0.677902
-1.600406,0.692537
-1.575447,0.707057
-1.550461,0.721561
-1.525501,0.735968
-1.500542,0.750243
-1.475556,0.764521
-1.450379,0.778683
-1.425420,0.792829
-1.400461,0.806992
-1.375501,0.821040
-1.350515,0.834959
-1.325556,0.849008
-1.300596,0.862927
-1.275637,0.876862
-1.250461,0.890781
-1.225502,0.904715
-1.200542,0.918634
-1.175555,0.932683
-1.150596,0.946602
-1.125636,0.960651
-1.100677,0.974699
-1.075691,0.988732
-1.050542,1.002894
-1.025583,1.017057
-1.000596,1.031219
-0.975637,1.045496
-0.950677,1.059772
-0.925718,1.074049
-0.900732,1.088440
-0.875772,1.102943
-0.850596,1.117594
-0.825637,1.132341
-0.800651,1.147317
-0.775691,1.162406
-0.750732,1.177740
-0.725773,1.193301
-0.700786,1.209106
-0.675826,1.225024
-0.650677,1.241399
-0.625691,1.257903
-0.600732,1.274634
-0.575773,1.291723
-0.550813,1.309041
-0.525826,1.326602
-0.500867,1.344390
-0.475908,1.362407
-0.450732,1.380553
-0.425772,1.398927
-0.400813,1.417414
-0.375853,1.436016
-0.350867,1.454748
-0.325908,1.473593
-0.300948,1.492423
-0.275989,1.511268
-0.250813,1.530341
-0.225853,1.549415
-0.200894,1.568618
-0.175881,1.587919
-0.150922,1.607350
-0.125962,1.626895
-0.101003,1.646553
-0.076044,1.666325
-0.050867,1.686228
-0.025908,1.706244
-0.000949,1.726244
0.024038,1.746374
0.048998,1.766504
0.073957,1.786748
0.099323,1.807122
0.124878,1.828065
0.151002,1.849480
0.177913,1.871593
0.206017,1.894781
0.235067,1.918992
0.265502,1.944504
0.297669,1.971545
0.332412,2.000910
0.370623,2.033333
0.413333,2.069496
0.461734,2.110341
0.516368,2.156683
0.578374,2.209220
0.648781,2.268797
