# Kodak F-4016, revised 2-16, page 8; vector-path digitisation. See SOURCES.md.
wavelengthNM,sensitivity
400,31.644844
410,28.073601
420,24.233227
430,21.130760
440,18.697639
450,16.534741
460,14.389400
470,12.518139
480,10.727405
490,9.736457
500,9.614116
510,10.081865
520,11.164869
530,12.300789
540,12.613362
550,12.598815
560,12.804796
570,13.835070
580,14.228015
590,13.210526
600,11.622065
610,10.152716
620,9.280535
630,9.763767
640,8.469312
650,3.043035
660,0.780219
670,0.274233
680,0.107797
690,0.041693
700,0.019188
