# Kodak F-4017, revised 2-16, page 7; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.449756,0.314081
-3.379350,0.317810
-3.317317,0.321409
-3.262710,0.324835
-3.252602,0.325429
-3.242570,0.326039
-3.232611,0.326667
-3.222726,0.327312
-3.212912,0.327974
-3.203168,0.328655
-3.193493,0.329355
-3.183886,0.330073
-3.174345,0.330811
-3.164870,0.331569
-3.155459,0.332347
-3.146111,0.333146
-3.136825,0.333966
-3.127599,0.334807
-3.118432,0.335671
-3.109323,0.336557
-3.100271,0.337466
-3.091274,0.338398
-3.082332,0.339354
-3.073442,0.340334
-3.064605,0.341338
-3.055818,0.342368
-3.047080,0.343423
-3.038391,0.344503
-3.029748,0.345610
-3.021151,0.346744
-3.012598,0.347904
-3.004089,0.349093
-2.995622,0.350309
-2.987195,0.351553
-2.978808,0.352827
-2.970459,0.354129
-2.962147,0.355461
-2.953871,0.356824
-2.945629,0.358216
-2.937421,0.359640
-2.929245,0.361095
-2.921100,0.362582
-2.912984,0.364101
-2.904897,0.365652
-2.896837,0.367237
-2.888803,0.368855
-2.880794,0.370507
-2.872808,0.372193
-2.864845,0.373914
-2.856902,0.375670
-2.848980,0.377462
-2.841075,0.379289
-2.833189,0.381153
-2.825318,0.383054
-2.817462,0.384992
-2.809620,0.386968
-2.801790,0.388982
-2.793972,0.391035
-2.786163,0.393127
-2.778363,0.395258
-2.770571,0.397428
-2.762785,0.399639
-2.755004,0.401891
-2.747227,0.404184
-2.739452,0.406518
-2.731679,0.408894
-2.723905,0.411313
-2.716131,0.413774
-2.708354,0.416279
-2.700574,0.418827
-2.692789,0.421419
-2.684998,0.424056
-2.677199,0.426738
-2.669392,0.429465
-2.661576,0.432238
-2.653748,0.435057
-2.645908,0.437922
-2.638055,0.440835
-2.630187,0.443795
-2.622303,0.446803
-2.614402,0.449859
-2.606483,0.452964
-2.598544,0.456118
-2.590584,0.459322
-2.582602,0.462576
-2.574597,0.465880
-2.566568,0.469235
-2.558512,0.472641
-2.550430,0.476099
-2.542320,0.479609
-2.534180,0.483172
-2.526009,0.486787
-2.517807,0.490456
-2.509571,0.494179
-2.501301,0.497956
-2.492995,0.501788
-2.484653,0.505675
-2.476273,0.509617
-2.467853,0.513615
-2.459393,0.517670
-2.450891,0.521781
-2.442346,0.525950
-2.433757,0.530176
-2.425122,0.534461
-2.400162,0.546797
-2.375203,0.559284
-2.367339,0.563338
-2.359476,0.567396
-2.351615,0.571458
-2.343756,0.575524
-2.335898,0.579594
-2.328043,0.583669
-2.320189,0.587748
-2.312336,0.591831
-2.304486,0.595918
-2.296637,0.600009
-2.288791,0.604104
-2.280946,0.608203
-2.273103,0.612306
-2.265262,0.616413
-2.257422,0.620524
-2.249585,0.624639
-2.241750,0.628758
-2.233917,0.632881
-2.226085,0.637008
-2.218256,0.641139
-2.210429,0.645273
-2.202604,0.649412
-2.194781,0.653554
-2.186960,0.657700
-2.179141,0.661849
-2.171325,0.666003
-2.163510,0.670160
-2.155698,0.674320
-2.147888,0.678485
-2.140081,0.682653
-2.132275,0.686825
-2.124472,0.691000
-2.116671,0.695179
-2.108873,0.699361
-2.101077,0.703547
-2.093283,0.707737
-2.085492,0.711930
-2.077703,0.716126
-2.069917,0.720326
-2.062133,0.724529
-2.054351,0.728736
-2.046572,0.732946
-2.038796,0.737159
-2.031022,0.741376
-2.023251,0.745596
-2.015482,0.749819
-2.007716,0.754046
-1.999953,0.758276
-1.992192,0.762509
-1.984434,0.766745
-1.976679,0.770985
-1.968926,0.775227
-1.961176,0.779473
-1.953429,0.783722
-1.945685,0.787974
-1.937943,0.792229
-1.930205,0.796487
-1.922469,0.800748
-1.914736,0.805012
-1.907006,0.809279
-1.899279,0.813550
-1.891555,0.817823
-1.883834,0.822098
-1.876115,0.826377
-1.868400,0.830659
-1.860688,0.834944
-1.852979,0.839231
-1.845273,0.843521
-1.837570,0.847814
-1.829870,0.852110
-1.822174,0.856408
-1.814480,0.860709
-1.806790,0.865013
-1.799103,0.869320
-1.791419,0.873629
-1.783738,0.877941
-1.776061,0.882255
-1.768387,0.886572
-1.760716,0.890892
-1.753049,0.895214
-1.745385,0.899539
-1.737724,0.903866
-1.730067,0.908196
-1.722413,0.912528
-1.714762,0.916862
-1.707115,0.921199
-1.699472,0.925539
-1.691832,0.929880
-1.684195,0.934224
-1.676563,0.938571
-1.668933,0.942919
-1.661307,0.947270
-1.653685,0.951623
-1.646067,0.955979
-1.638452,0.960337
-1.630841,0.964696
-1.623233,0.969058
-1.615630,0.973423
-1.608030,0.977789
-1.600434,0.982157
-1.575474,0.996683
-1.550487,1.011339
-1.525338,1.026016
-1.508236,1.036521
-1.491144,1.047037
-1.474061,1.057561
-1.456987,1.068094
-1.439921,1.078636
-1.422862,1.089185
