# Kodak F-4017, revised 2-16, page 7; vector-path digitisation. See SOURCES.md.
wavelengthNM,sensitivity
400,499.648383
410,487.397025
420,470.366210
430,444.938388
440,413.613571
450,378.605846
460,334.596235
470,282.437579
480,232.216610
490,193.123812
500,170.701731
510,170.054101
520,185.202143
530,206.591492
540,229.431158
550,251.019806
560,269.720515
570,282.908060
580,280.279348
590,255.739255
600,235.960986
610,245.392740
620,260.025268
630,218.853239
640,95.295117
650,12.914809
660,2.528934
670,0.000000
680,0.000000
690,0.000000
700,0.000000
