# Fujifilm AF3-036E, page 5, Spectral Dye Density Curves; raster/vector digitisation. See SOURCES.md.
wavelengthNM,cyan,magenta,yellow
400,0.242867,0.169068,0.548627
410,0.217630,0.182754,0.691528
420,0.198384,0.199094,0.835353
430,0.180120,0.216156,0.940925
440,0.162888,0.215153,1.000000
450,0.146901,0.205381,0.995339
460,0.134183,0.220171,0.929276
470,0.122734,0.261394,0.797738
480,0.113039,0.334104,0.632418
490,0.108218,0.433995,0.461944
500,0.109661,0.563203,0.320276
510,0.116288,0.698484,0.212533
520,0.131187,0.840021,0.134878
530,0.156857,0.951905,0.083599
540,0.198073,1.000000,0.057782
550,0.245281,0.989986,0.044679
560,0.300478,0.925706,0.037893
570,0.365456,0.802018,0.034608
580,0.438900,0.651481,0.031587
590,0.520333,0.488304,0.030580
600,0.613750,0.363473,0.031391
610,0.708165,0.261999,0.029573
620,0.803579,0.191834,0.028566
630,0.885298,0.144467,0.029573
640,0.945774,0.113080,0.031587
650,0.987004,0.089708,0.032608
660,1.000000,0.070624,0.030580
670,0.977772,0.055310,0.024538
680,0.928309,0.044529,0.018496
690,0.861068,0.036028,0.014940
700,0.772644,0.031481,0.012453
