# Fujifilm AF3-0221E2, page 8, Spectral Sensitivity Curves; raster/vector digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,0.000000,2.745267
410,0.000000,0.000000,3.679909
420,0.000000,0.000000,3.568326
430,0.000000,0.000000,3.256500
440,0.000000,0.000000,3.279999
450,0.000000,0.000000,3.744142
460,0.000000,0.000000,2.955766
470,0.000000,0.000000,1.666529
480,0.000000,0.000000,0.838390
490,0.000000,0.260144,0.000000
500,0.000000,0.462744,0.000000
510,0.000000,0.757014,0.000000
520,0.000000,1.129582,0.000000
530,0.000000,1.722910,0.000000
540,0.000000,2.857310,0.000000
550,0.000000,3.603538,0.000000
560,0.000000,2.858272,0.000000
570,0.000000,2.793401,0.000000
580,0.172575,2.337245,0.000000
590,0.450450,0.000000,0.000000
600,0.674020,0.000000,0.000000
610,0.761900,0.000000,0.000000
620,0.953964,0.000000,0.000000
630,1.545345,0.000000,0.000000
640,2.752156,0.000000,0.000000
650,3.549960,0.000000,0.000000
660,2.188875,0.000000,0.000000
670,0.787329,0.000000,0.000000
680,0.495433,0.000000,0.000000
690,0.263191,0.000000,0.000000
700,0.000000,0.000000,0.000000
