# Kodak H-1-5213t, revised 7-15, page 5 Spectral Dye Density Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,minimum,midscale
400,0.606297,1.105704
410,0.674667,1.249096
420,0.757536,1.407166
430,0.807287,1.530808
440,0.847336,1.586419
450,0.842176,1.583114
460,0.804147,1.529977
470,0.800167,1.483954
480,0.784958,1.431740
490,0.705776,1.336872
500,0.671120,1.322283
510,0.691885,1.383305
520,0.630711,1.378169
530,0.567946,1.369182
540,0.552848,1.373064
550,0.542892,1.325863
560,0.544114,1.231725
570,0.538850,1.104534
580,0.495663,0.968210
590,0.371776,0.805355
600,0.263582,0.708542
610,0.222906,0.696883
620,0.222930,0.742776
630,0.203683,0.767905
640,0.172687,0.777774
650,0.164927,0.812971
660,0.161893,0.848749
670,0.161893,0.874989
680,0.160732,0.888776
690,0.158727,0.883961
700,0.154934,0.860893
