# Kodak H-1-5213t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.684000,0.846986
-3.636000,0.847614
-3.588000,0.848125
-3.540000,0.848620
-3.492000,0.849198
-3.444000,0.849957
-3.396000,0.850997
-3.348000,0.852360
-3.300000,0.853853
-3.252000,0.855528
-3.204000,0.857465
-3.156000,0.859745
-3.108000,0.862447
-3.060000,0.865523
-3.012000,0.868321
-2.964000,0.871189
-2.916000,0.874668
-2.868000,0.879299
-2.820000,0.885623
-2.772000,0.894151
-2.724000,0.904584
-2.676000,0.916611
-2.628000,0.930136
-2.580000,0.945067
-2.532000,0.961309
-2.484000,0.978768
-2.436000,0.997753
-2.388000,1.018432
-2.340000,1.040448
-2.292000,1.063443
-2.244000,1.087059
-2.196000,1.110940
-2.148000,1.135102
-2.100000,1.160070
-2.052000,1.185657
-2.004000,1.211653
-1.956000,1.237844
-1.908000,1.264020
-1.860000,1.290032
-1.812000,1.316221
-1.764000,1.342579
-1.716000,1.368993
-1.668000,1.395351
-1.620000,1.421540
-1.572000,1.447469
-1.524000,1.473163
-1.476000,1.498656
-1.428000,1.524029
-1.380000,1.549365
-1.332000,1.574746
-1.284000,1.600255
-1.236000,1.625958
-1.188000,1.651767
-1.140000,1.677629
-1.092000,1.703491
-1.044000,1.729301
-0.996000,1.755006
-0.948000,1.780539
-0.900000,1.805957
-0.852000,1.831313
-0.804000,1.856646
-0.756000,1.881998
-0.708000,1.907412
-0.660000,1.932914
-0.612000,1.958493
-0.564000,1.984127
-0.516000,2.009794
-0.468000,2.035469
-0.420000,2.061129
-0.372000,2.086752
-0.324000,2.112420
-0.276000,2.138125
-0.228000,2.163803
-0.180000,2.189391
-0.132000,2.214824
-0.084000,2.240039
-0.036000,2.265252
0.012000,2.290504
0.060000,2.315609
0.108000,2.340382
0.156000,2.364636
0.204000,2.388187
0.252000,2.410992
0.300000,2.433320
0.348000,2.455115
0.396000,2.476303
0.444000,2.496807
0.492000,2.516551
0.540000,2.535488
0.588000,2.553703
0.636000,2.571212
0.684000,2.588017
0.732000,2.604120
0.780000,2.619524
0.828000,2.634226
0.876000,2.647878
0.924000,2.660550
0.972000,2.672579
1.020000,2.684303
1.068000,2.696060
1.116000,2.708180
