# Kodak H-1-5213t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.684000,0.579949
-3.636000,0.580631
-3.588000,0.581231
-3.540000,0.581830
-3.492000,0.582509
-3.444000,0.583349
-3.396000,0.584429
-3.348000,0.585709
-3.300000,0.587072
-3.252000,0.588586
-3.204000,0.590318
-3.156000,0.592333
-3.108000,0.594699
-3.060000,0.597292
-3.012000,0.599305
-2.964000,0.601222
-2.916000,0.603733
-2.868000,0.607528
-2.820000,0.613297
-2.772000,0.621694
-2.724000,0.632390
-2.676000,0.644971
-2.628000,0.659270
-2.580000,0.675119
-2.532000,0.692352
-2.484000,0.710804
-2.436000,0.730881
-2.388000,0.752800
-2.340000,0.776149
-2.292000,0.800512
-2.244000,0.825477
-2.196000,0.850629
-2.148000,0.875912
-2.100000,0.901913
-2.052000,0.928497
-2.004000,0.955492
-1.956000,0.982724
-1.908000,1.010023
-1.860000,1.037334
-1.812000,1.065009
-1.764000,1.092934
-1.716000,1.120939
-1.668000,1.148854
-1.620000,1.176509
-1.572000,1.203752
-1.524000,1.230608
-1.476000,1.257161
-1.428000,1.283529
-1.380000,1.309828
-1.332000,1.336175
-1.284000,1.362685
-1.236000,1.389442
-1.188000,1.416297
-1.140000,1.443203
-1.092000,1.470111
-1.044000,1.496976
-0.996000,1.523751
-0.948000,1.550437
-0.900000,1.577054
-0.852000,1.603617
-0.804000,1.630149
-0.756000,1.656676
-0.708000,1.683219
-0.660000,1.709798
-0.612000,1.736397
-0.564000,1.763006
-0.516000,1.789620
-0.468000,1.816234
-0.420000,1.842845
-0.372000,1.869459
-0.324000,1.896178
-0.276000,1.922955
-0.228000,1.949716
-0.180000,1.976388
-0.132000,2.002898
-0.084000,2.029170
-0.036000,2.055408
0.012000,2.081677
0.060000,2.107795
0.108000,2.133582
0.156000,2.158855
0.204000,2.183434
0.252000,2.207291
0.300000,2.230657
0.348000,2.253492
0.396000,2.275742
0.444000,2.297356
0.492000,2.318280
0.540000,2.338513
0.588000,2.358158
0.636000,2.377177
0.684000,2.395531
0.732000,2.413184
0.780000,2.430097
0.828000,2.446233
0.876000,2.461271
0.924000,2.475290
0.972000,2.488640
1.020000,2.501670
1.068000,2.514730
1.116000,2.528160
