# Kodak H-1-5213t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.684000,0.177580
-3.636000,0.178272
-3.588000,0.178873
-3.540000,0.179463
-3.492000,0.180122
-3.444000,0.180933
-3.396000,0.181974
-3.348000,0.183276
-3.300000,0.184650
-3.252000,0.186160
-3.204000,0.187892
-3.156000,0.189936
-3.108000,0.192379
-3.060000,0.195151
-3.012000,0.197595
-2.964000,0.200075
-2.916000,0.203118
-2.868000,0.207248
-2.820000,0.212991
-2.772000,0.220841
-2.724000,0.230542
-2.676000,0.241786
-2.628000,0.254439
-2.580000,0.268371
-2.532000,0.283449
-2.484000,0.299540
-2.436000,0.317025
-2.388000,0.336041
-2.340000,0.356247
-2.292000,0.377304
-2.244000,0.398869
-2.196000,0.420603
-2.148000,0.442483
-2.100000,0.465018
-2.052000,0.488062
-2.004000,0.511435
-1.956000,0.534961
-1.908000,0.558462
-1.860000,0.581803
-1.812000,0.605292
-1.764000,0.628931
-1.716000,0.652619
-1.668000,0.676257
-1.620000,0.699744
-1.572000,0.722979
-1.524000,0.745948
-1.476000,0.768747
-1.428000,0.791445
-1.380000,0.814115
-1.332000,0.836828
-1.284000,0.859654
-1.236000,0.882683
-1.188000,0.905808
-1.140000,0.928973
-1.092000,0.952123
-1.044000,0.975201
-0.996000,0.998152
-0.948000,1.020979
-0.900000,1.043688
-0.852000,1.066303
-0.804000,1.088860
-0.756000,1.111396
-0.708000,1.133947
-0.660000,1.156558
-0.612000,1.179202
-0.564000,1.201848
-0.516000,1.224485
-0.468000,1.247105
-0.420000,1.269697
-0.372000,1.292255
-0.324000,1.314848
-0.276000,1.337471
-0.228000,1.360061
-0.180000,1.382555
-0.132000,1.404891
-0.084000,1.427006
-0.036000,1.449026
0.012000,1.471105
0.060000,1.493040
0.108000,1.514631
0.156000,1.535676
0.204000,1.555976
0.252000,1.575489
0.300000,1.594445
0.348000,1.612835
0.396000,1.630642
0.444000,1.647848
0.492000,1.664436
0.540000,1.680391
0.588000,1.695728
0.636000,1.710456
0.684000,1.724579
0.732000,1.738101
0.780000,1.751026
0.828000,1.763331
0.876000,1.774674
0.924000,1.785187
0.972000,1.795155
1.020000,1.804865
1.068000,1.814604
1.116000,1.824653
