# Kodak H-1-5213t, revised 7-15, page 4 Spectral Sensitivity Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,0.000000,476.878225
410,0.000000,0.000000,465.536386
420,0.000000,0.000000,539.900969
430,0.000000,0.000000,631.957546
440,0.000000,0.000000,720.667576
450,0.000000,0.000000,595.675711
460,0.000000,0.000000,595.208590
470,0.000000,0.000000,650.808569
480,0.000000,9.056550,317.539230
490,0.000000,32.684612,57.814670
500,0.000000,73.274685,20.360097
510,0.000000,100.781727,9.699110
520,0.000000,134.296153,0.000000
530,0.000000,164.234487,0.000000
540,0.000000,228.912304,0.000000
550,0.000000,299.505998,0.000000
560,2.135325,240.754302,0.000000
570,3.497677,184.373152,0.000000
580,12.540557,113.598223,0.000000
590,37.424898,20.193406,0.000000
600,59.169569,0.000000,0.000000
610,90.556202,0.000000,0.000000
620,119.677497,0.000000,0.000000
630,131.926855,0.000000,0.000000
640,149.024681,0.000000,0.000000
650,148.772881,0.000000,0.000000
660,105.382750,0.000000,0.000000
670,27.062288,0.000000,0.000000
680,0.000000,0.000000,0.000000
690,0.000000,0.000000,0.000000
700,0.000000,0.000000,0.000000
