# Kodak H-1-5207, March 2022, page 3 Sensitometric Curves; raster-plate digitisation. See SOURCES.md.
logExposure,density
-3.700000,0.842884
-3.652000,0.844547
-3.604000,0.845656
-3.556000,0.845656
-3.508000,0.845656
-3.460000,0.847874
-3.412000,0.850739
-3.364000,0.851201
-3.316000,0.851201
-3.268000,0.851201
-3.220000,0.851201
-3.172000,0.854898
-3.124000,0.861738
-3.076000,0.869686
-3.028000,0.876710
-2.980000,0.885582
-2.932000,0.892791
-2.884000,0.902218
-2.836000,0.911275
-2.788000,0.921072
-2.740000,0.931054
-2.692000,0.942699
-2.644000,0.955453
-2.596000,0.969501
-2.548000,0.984288
-2.500000,0.999815
-2.452000,1.018946
-2.404000,1.039741
-2.356000,1.063309
-2.308000,1.087431
-2.260000,1.113216
-2.212000,1.142329
-2.164000,1.164510
-2.116000,1.194547
-2.068000,1.219963
-2.020000,1.250462
-1.972000,1.275416
-1.924000,1.301479
-1.876000,1.327634
-1.828000,1.353050
-1.780000,1.378466
-1.732000,1.404621
-1.684000,1.429020
-1.636000,1.455176
-1.588000,1.480591
-1.540000,1.507856
-1.492000,1.534381
-1.444000,1.558226
-1.396000,1.583641
-1.348000,1.609797
-1.300000,1.636322
-1.252000,1.663031
-1.204000,1.688540
-1.156000,1.714048
-1.108000,1.739556
-1.060000,1.765250
-1.012000,1.791128
-0.964000,1.817006
-0.916000,1.842699
-0.868000,1.867652
-0.820000,1.893715
-0.772000,1.919224
-0.724000,1.945933
-0.676000,1.972458
-0.628000,1.996303
-0.580000,2.022643
-0.532000,2.049538
-0.484000,2.076248
-0.436000,2.101664
-0.388000,2.126617
-0.340000,2.153420
-0.292000,2.179298
-0.244000,2.204713
-0.196000,2.230869
-0.148000,2.256470
-0.100000,2.280776
-0.052000,2.302957
-0.004000,2.327634
0.044000,2.351201
0.092000,2.373845
0.140000,2.397227
0.188000,2.418299
0.236000,2.440850
0.284000,2.463216
0.332000,2.485213
0.380000,2.507024
0.428000,2.526433
0.476000,2.547597
0.524000,2.568577
0.572000,2.587338
0.620000,2.605730
0.668000,2.621072
0.716000,2.635120
0.764000,2.647320
0.812000,2.660351
0.860000,2.672828
0.908000,2.686229
0.956000,2.697782
1.004000,2.708318
1.052000,2.718299
1.100000,2.722736
