# Kodak H-1-5207, March 2022, page 3 Sensitometric Curves; raster-plate digitisation. See SOURCES.md.
logExposure,density
-3.700000,0.573937
-3.652000,0.577264
-3.604000,0.579482
-3.556000,0.579482
-3.508000,0.579482
-3.460000,0.583364
-3.412000,0.585028
-3.364000,0.585028
-3.316000,0.587246
-3.268000,0.590573
-3.220000,0.593900
-3.172000,0.597043
-3.124000,0.603882
-3.076000,0.610906
-3.028000,0.619963
-2.980000,0.627172
-2.932000,0.636784
-2.884000,0.647135
-2.836000,0.658041
-2.788000,0.668207
-2.740000,0.678743
-2.692000,0.690850
-2.644000,0.704806
-2.596000,0.720425
-2.548000,0.736969
-2.500000,0.753604
-2.452000,0.772181
-2.404000,0.792976
-2.356000,0.814695
-2.308000,0.840111
-2.260000,0.866913
-2.212000,0.892791
-2.164000,0.917190
-2.116000,0.944547
-2.068000,0.970425
-2.020000,0.996765
-1.972000,1.024214
-1.924000,1.048059
-1.876000,1.075323
-1.828000,1.103512
-1.780000,1.128928
-1.732000,1.157301
-1.684000,1.181146
-1.636000,1.208410
-1.588000,1.236599
-1.540000,1.262015
-1.492000,1.290943
-1.444000,1.314233
-1.396000,1.342884
-1.348000,1.369686
-1.300000,1.396950
-1.252000,1.425139
-1.204000,1.450092
-1.156000,1.479482
-1.108000,1.502773
-1.060000,1.530961
-1.012000,1.558226
-0.964000,1.584566
-0.916000,1.613124
-0.868000,1.635860
-0.820000,1.664048
-0.772000,1.691312
-0.724000,1.717652
-0.676000,1.746211
-0.628000,1.768946
-0.580000,1.798521
-0.532000,1.824399
-0.484000,1.852588
-0.436000,1.879852
-0.388000,1.903697
-0.340000,1.932532
-0.292000,1.958041
-0.244000,1.986599
-0.196000,2.012939
-0.148000,2.038817
-0.100000,2.063956
-0.052000,2.086691
-0.004000,2.112292
0.044000,2.137153
0.092000,2.161738
0.140000,2.185397
0.188000,2.207024
0.236000,2.231516
0.284000,2.255268
0.332000,2.278651
0.380000,2.301294
0.428000,2.321257
0.476000,2.343808
0.524000,2.363956
0.572000,2.384473
0.620000,2.404436
0.668000,2.422366
0.716000,2.439926
0.764000,2.453789
0.812000,2.469039
0.860000,2.484288
0.908000,2.498614
0.956000,2.512015
1.004000,2.524769
1.052000,2.536969
1.100000,2.542514
