# Kodak H-1-5207, March 2022, page 3 Sensitometric Curves; raster-plate digitisation. See SOURCES.md.
logExposure,density
-3.700000,0.174677
-3.652000,0.176340
-3.604000,0.178004
-3.556000,0.180222
-3.508000,0.180222
-3.460000,0.180222
-3.412000,0.182994
-3.364000,0.185767
-3.316000,0.186322
-3.268000,0.189926
-3.220000,0.192421
-3.172000,0.196858
-3.124000,0.202403
-3.076000,0.209797
-3.028000,0.216821
-2.980000,0.223475
-2.932000,0.232902
-2.884000,0.241220
-2.836000,0.251386
-2.788000,0.260628
-2.740000,0.269501
-2.692000,0.281423
-2.644000,0.293346
-2.596000,0.307763
-2.548000,0.321627
-2.500000,0.336044
-2.452000,0.353050
-2.404000,0.370980
-2.356000,0.390018
-2.308000,0.410351
-2.260000,0.432532
-2.212000,0.455268
-2.164000,0.476340
-2.116000,0.499538
-2.068000,0.522921
-2.020000,0.545287
-1.972000,0.568392
-1.924000,0.589464
-1.876000,0.611830
-1.828000,0.635490
-1.780000,0.659427
-1.732000,0.682070
-1.684000,0.702588
-1.636000,0.725970
-1.588000,0.749168
-1.540000,0.772643
-1.492000,0.795749
-1.444000,0.817375
-1.396000,0.841035
-1.348000,0.863401
-1.300000,0.887246
-1.252000,0.910536
-1.204000,0.932994
-1.156000,0.956562
-1.108000,0.977634
-1.060000,1.000924
-1.012000,1.024214
-0.964000,1.047135
-0.916000,1.070240
-0.868000,1.090758
-0.820000,1.115065
-0.772000,1.138447
-0.724000,1.161275
-0.676000,1.185028
-0.628000,1.206100
-0.580000,1.228743
-0.532000,1.251571
-0.484000,1.275416
-0.436000,1.298706
-0.388000,1.319778
-0.340000,1.342421
-0.292000,1.365804
-0.244000,1.388170
-0.196000,1.410721
-0.148000,1.432070
-0.100000,1.453420
-0.052000,1.472828
-0.004000,1.493993
0.044000,1.514972
0.092000,1.534196
0.140000,1.553789
0.188000,1.572089
0.236000,1.591497
0.284000,1.610906
0.332000,1.629390
0.380000,1.647505
0.428000,1.664140
0.476000,1.682070
0.524000,1.699630
0.572000,1.714880
0.620000,1.730129
0.668000,1.744455
0.716000,1.756747
0.764000,1.768946
0.812000,1.781423
0.860000,1.791682
0.908000,1.802218
0.956000,1.812754
1.004000,1.821627
1.052000,1.830499
1.100000,1.832717
