# Kodak H-1-5219t, revised 7-15, page 4 Diffuse rms Granularity nomograph; absolute density, sigma-D at 48 um; vector-path digitisation. See SOURCES.md.
density,red,green,blue
0.950000,0.006173,0.011346,0.029539
0.960000,0.006144,0.011186,0.029837
0.970000,0.006115,0.011029,0.030092
0.980000,0.006087,0.010885,0.030328
0.990000,0.006064,0.010746,0.030536
1.000000,0.006045,0.010608,0.030697
1.010000,0.006026,0.010472,0.030809
1.020000,0.006011,0.010341,0.030904
1.030000,0.006001,0.010213,0.030970
1.040000,0.005999,0.010085,0.031036
1.050000,0.005999,0.009961,0.031097
1.060000,0.006007,0.009840,0.031157
1.070000,0.006019,0.009731,0.031199
1.080000,0.006045,0.009639,0.031199
1.090000,0.006071,0.009548,0.031199
1.100000,0.006095,0.009458,0.031176
1.110000,0.006124,0.009379,0.031123
1.120000,0.006158,0.009307,0.031074
1.130000,0.006194,0.009251,0.031006
1.140000,0.006232,0.009206,0.030886
1.150000,0.006270,0.009167,0.030769
1.160000,0.006308,0.009133,0.030654
1.170000,0.006338,0.009108,0.030528
1.180000,0.006365,0.009098,0.030400
1.190000,0.006384,0.009087,0.030273
1.200000,0.006401,0.009076,0.030135
1.210000,0.006410,0.009066,0.029952
1.220000,0.006420,0.009055,0.029770
1.230000,0.006430,0.009045,0.029589
1.240000,0.006436,0.009035,0.029386
1.250000,0.006441,0.009025,0.029148
1.260000,0.006446,0.009010,0.028911
1.270000,0.006445,0.008988,0.028677
1.280000,0.006440,0.008961,0.028424
1.290000,0.006435,0.008920,0.028158
1.300000,0.006427,0.008878,0.027861
1.310000,0.006417,0.008814,0.027549
1.320000,0.006407,0.008751,0.027223
1.330000,0.006395,0.008676,0.026897
1.340000,0.006377,0.008601,0.026525
1.350000,0.006354,0.008517,0.026156
1.360000,0.006325,0.008432,0.025830
1.370000,0.006295,0.008341,0.025507
1.380000,0.006263,0.008247,0.025189
1.390000,0.006232,0.008154,0.024875
1.400000,0.006200,0.008060,0.024568
1.410000,0.006164,0.007977,0.024268
1.420000,0.006127,0.007899,0.023980
1.430000,0.006091,0.007816,0.023708
1.440000,0.006060,0.007730,0.023459
1.450000,0.006032,0.007662,0.023212
1.460000,0.006013,0.007601,0.022969
1.470000,0.005997,0.007544,0.022730
1.480000,0.005987,0.007489,0.022498
1.490000,0.005984,0.007437,0.022269
1.500000,0.005984,0.007385,0.022041
1.510000,0.005990,0.007339,0.021826
1.520000,0.005995,0.007293,0.021625
1.530000,0.006000,0.007248,0.021426
1.540000,0.006005,0.007212,0.021228
1.550000,0.006011,0.007178,0.021045
1.560000,0.006015,0.007144,0.020876
1.570000,0.006015,0.007124,0.020712
1.580000,0.006004,0.007113,0.020553
1.590000,0.005989,0.007103,0.020412
1.600000,0.005968,0.007094,0.020284
1.610000,0.005947,0.007094,0.020157
1.620000,0.005924,0.007103,0.020030
1.630000,0.005899,0.007125,0.019940
1.640000,0.005875,0.007146,0.019854
1.650000,0.005850,0.007166,0.019769
1.660000,0.005825,0.007197,0.019689
1.670000,0.005801,0.007228,0.019618
1.680000,0.005774,0.007265,0.019548
1.690000,0.005742,0.007302,0.019478
1.700000,0.005711,0.007339,0.019418
1.710000,0.005683,0.007376,0.019363
1.720000,0.005657,0.007414,0.019307
1.730000,0.005632,0.007453,0.019254
1.740000,0.005603,0.007491,0.019227
1.750000,0.005571,0.007530,0.019199
1.760000,0.005540,0.007569,0.019172
1.770000,0.005508,0.007609,0.019151
1.780000,0.005476,0.007655,0.019138
1.790000,0.005446,0.007708,0.019125
1.800000,0.005423,0.007761,0.019112
1.810000,0.005400,0.007812,0.019109
1.820000,0.005381,0.007858,0.019109
1.830000,0.005363,0.007903,0.019109
1.840000,0.005352,0.007949,0.019112
1.850000,0.005345,0.007987,0.019125
1.860000,0.005337,0.008019,0.019138
1.870000,0.005323,0.008052,0.019151
1.880000,0.005310,0.008084,0.019171
1.890000,0.005295,0.008108,0.019197
1.900000,0.005274,0.008128,0.019223
1.910000,0.005242,0.008148,0.019249
1.920000,0.005204,0.008167,0.019275
1.930000,0.005164,0.008186,0.019300
1.940000,0.005120,0.008205,0.019326
1.950000,0.005101,0.008223,0.019351
1.960000,0.005105,0.008242,0.019387
1.970000,0.005143,0.008260,0.019425
1.980000,0.005224,0.008265,0.019463
1.990000,0.005322,0.008270,0.019502
2.000000,0.005420,0.008274,0.019543
