# Kodak H-1-5219t, revised 7-15, page 5 peak-normalized CMY Dye Density Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,cyan,magenta,yellow
400,0.199639,-0.018096,0.485272
410,0.158357,-0.022993,0.638386
420,0.114340,-0.026444,0.792882
430,0.075927,-0.015363,0.922631
440,0.045208,-0.037679,0.990693
450,0.025046,-0.032489,0.999886
460,0.015403,0.015389,0.937404
470,0.013310,0.096486,0.808078
480,0.014013,0.214762,0.646502
490,0.017527,0.370068,0.485101
500,0.024531,0.538589,0.349647
510,0.032958,0.702746,0.247867
520,0.045395,0.847861,0.187870
530,0.063575,0.962523,0.150807
540,0.088076,1.000159,0.127038
550,0.123725,0.936286,0.105369
560,0.162898,0.787799,0.082290
570,0.206983,0.597529,0.059257
580,0.259578,0.422393,0.041094
590,0.338451,0.289106,0.027295
600,0.436343,0.202429,0.016113
610,0.535624,0.147229,0.009800
620,0.634923,0.112993,0.005613
630,0.725725,0.090686,0.002813
640,0.805340,0.077435,0.000043
650,0.876518,0.069169,-0.000651
660,0.934562,0.063563,-0.002037
670,0.978588,0.059383,-0.002743
680,1.000232,0.055866,-0.003436
690,0.999423,0.053774,-0.003436
700,0.971315,0.051696,-0.003436
