# Kodak H-1-5203t, revised 7-15, page 5 Spectral Dye Density Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,minimum,midscale
400,0.695010,1.153797
410,0.693590,1.211208
420,0.769978,1.364902
430,0.823905,1.493492
440,0.855679,1.552650
450,0.849107,1.544414
460,0.808644,1.487363
470,0.787318,1.424861
480,0.758796,1.351506
490,0.682014,1.254050
500,0.635978,1.217905
510,0.637315,1.258324
520,0.601923,1.275145
530,0.557621,1.279970
540,0.549349,1.287840
550,0.549422,1.250802
560,0.552728,1.164511
570,0.540323,1.044134
580,0.476866,0.905652
590,0.347883,0.753952
600,0.228199,0.651485
610,0.168045,0.627920
620,0.147459,0.649264
630,0.141150,0.689532
640,0.141239,0.737541
650,0.142624,0.782382
660,0.144143,0.820125
670,0.144887,0.847815
680,0.145422,0.861628
690,0.145017,0.859835
700,0.143515,0.837891
