# Kodak H-1-5203t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.030000,0.854682
-2.979640,0.855182
-2.929280,0.855585
-2.878920,0.855982
-2.828560,0.856460
-2.778200,0.857108
-2.727840,0.858015
-2.677480,0.858986
-2.627120,0.859582
-2.576760,0.860207
-2.526400,0.861304
-2.476040,0.863314
-2.425680,0.866678
-2.375320,0.871626
-2.324960,0.877344
-2.274600,0.883968
-2.224240,0.891822
-2.173880,0.901228
-2.123520,0.912512
-2.073160,0.926011
-2.022800,0.942001
-1.972440,0.960129
-1.922080,0.979960
-1.871720,1.001057
-1.821360,1.022984
-1.771000,1.045304
-1.720640,1.068409
-1.670280,1.092702
-1.619920,1.117884
-1.569560,1.143658
-1.519200,1.169725
-1.468840,1.195786
-1.418480,1.221900
-1.368120,1.248544
-1.317760,1.275505
-1.267400,1.302548
-1.217040,1.329441
-1.166680,1.355948
-1.116320,1.381823
-1.065960,1.407003
-1.015600,1.431761
-0.965240,1.456384
-0.914880,1.481159
-0.864520,1.506371
-0.814160,1.532305
-0.763800,1.558984
-0.713440,1.586183
-0.663080,1.613691
-0.612720,1.641300
-0.562360,1.668802
-0.512000,1.695989
-0.461640,1.722872
-0.411280,1.749527
-0.360920,1.776089
-0.310560,1.802691
-0.260200,1.829470
-0.209840,1.856560
-0.159480,1.884081
-0.109120,1.911934
-0.058760,1.940005
-0.008400,1.968194
0.041960,1.996400
0.092320,2.024522
0.142680,2.052507
0.193040,2.080489
0.243400,2.108460
0.293760,2.136391
0.344120,2.164253
0.394480,2.192016
0.444840,2.219666
0.495200,2.247371
0.545560,2.275092
0.595920,2.302716
0.646280,2.330129
0.696640,2.357215
0.747000,2.383863
0.797360,2.410380
0.847720,2.436838
0.898080,2.462995
0.948440,2.488607
0.998800,2.513433
1.049160,2.537229
1.099520,2.559880
1.149880,2.581682
1.200240,2.602655
1.250600,2.622789
1.300960,2.642077
1.351320,2.660514
1.401680,2.678123
1.452040,2.694840
1.502400,2.710667
1.552760,2.725671
1.603120,2.739914
1.653480,2.753460
1.703840,2.766349
1.754200,2.778138
1.804560,2.788909
1.854920,2.799010
1.905280,2.808792
1.955640,2.818603
2.006000,2.828787
