# Kodak H-1-5203t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.030000,0.580438
-2.979640,0.580660
-2.929280,0.580844
-2.878920,0.581024
-2.828560,0.581230
-2.778200,0.581494
-2.727840,0.581845
-2.677480,0.582086
-2.627120,0.582086
-2.576760,0.582086
-2.526400,0.582086
-2.476040,0.582321
-2.425680,0.584596
-2.375320,0.588486
-2.324960,0.592987
-2.274600,0.598314
-2.224240,0.604925
-2.173880,0.613276
-2.123520,0.623826
-2.073160,0.637035
-2.022800,0.653073
-1.972440,0.671536
-1.922080,0.691977
-1.871720,0.713950
-1.821360,0.737009
-1.771000,0.760707
-1.720640,0.785582
-1.670280,0.812137
-1.619920,0.839867
-1.569560,0.868264
-1.519200,0.896823
-1.468840,0.925037
-1.418480,0.952825
-1.368120,0.980772
-1.317760,1.008824
-1.267400,1.036904
-1.217040,1.064940
-1.166680,1.092856
-1.116320,1.120610
-1.065960,1.148213
-1.015600,1.175705
-0.965240,1.203152
-0.914880,1.230619
-0.864520,1.258172
-0.814160,1.285887
-0.763800,1.313788
-0.713440,1.341795
-0.663080,1.369875
-0.612720,1.397995
-0.562360,1.426121
-0.512000,1.454221
-0.461640,1.482273
-0.411280,1.510332
-0.360920,1.538408
-0.310560,1.566511
-0.260200,1.594649
-0.209840,1.622834
-0.159480,1.651098
-0.109120,1.679429
-0.058760,1.707800
-0.008400,1.736191
0.041960,1.764583
0.092320,1.792954
0.142680,1.821301
0.193040,1.849664
0.243400,1.878025
0.293760,1.906356
0.344120,1.934632
0.394480,1.962825
0.444840,1.990915
0.495200,2.019073
0.545560,2.047271
0.595920,2.075376
0.646280,2.103253
0.696640,2.130768
0.747000,2.157786
0.797360,2.184519
0.847720,2.211092
0.898080,2.237329
0.948440,2.263054
0.998800,2.288090
1.049160,2.312261
1.099520,2.335494
1.149880,2.357992
1.200240,2.379765
1.250600,2.400809
1.300960,2.421121
1.351320,2.440700
1.401680,2.459554
1.452040,2.477673
1.502400,2.495041
1.552760,2.511663
1.603120,2.527542
1.653480,2.542679
1.703840,2.557070
1.754200,2.570334
1.804560,2.582547
1.854920,2.594069
1.905280,2.605261
1.955640,2.616484
2.006000,2.628093
