# Kodak H-1-5203t, revised 7-15, page 4 Characteristic Curves; vector-path digitisation. See SOURCES.md.
logExposure,density
-3.030000,0.171750
-2.979640,0.171959
-2.929280,0.172128
-2.878920,0.172292
-2.828560,0.172490
-2.778200,0.172758
-2.727840,0.173131
-2.677480,0.173408
-2.627120,0.173408
-2.576760,0.173408
-2.526400,0.173408
-2.476040,0.173888
-2.425680,0.176304
-2.375320,0.180450
-2.324960,0.185591
-2.274600,0.191746
-2.224240,0.199107
-2.173880,0.207869
-2.123520,0.218222
-2.073160,0.230365
-2.022800,0.244314
-1.972440,0.259901
-1.922080,0.276988
-1.871720,0.295439
-1.821360,0.315117
-1.771000,0.335885
-1.720640,0.358336
-1.670280,0.382630
-1.619920,0.408202
-1.569560,0.434489
-1.519200,0.460929
-1.468840,0.486958
-1.418480,0.512550
-1.368120,0.538529
-1.317760,0.564659
-1.267400,0.590657
-1.217040,0.616241
-1.166680,0.641126
-1.116320,0.665032
-1.065960,0.687857
-1.015600,0.709930
-0.965240,0.731628
-0.914880,0.753329
-0.864520,0.775409
-0.814160,0.798217
-0.763800,0.821582
-0.713440,0.845302
-0.663080,0.869251
-0.612720,0.893305
-0.562360,0.917340
-0.512000,0.941231
-0.461640,0.965023
-0.411280,0.988807
-0.360920,1.012579
-0.310560,1.036333
-0.260200,1.060066
-0.209840,1.083772
-0.159480,1.107471
-0.109120,1.131150
-0.058760,1.154810
-0.008400,1.178463
0.041960,1.202118
0.092320,1.225786
0.142680,1.249464
0.193040,1.273181
0.243400,1.296924
0.293760,1.320657
0.344120,1.344343
0.394480,1.367946
0.444840,1.391429
0.495200,1.414921
0.545560,1.438424
0.595920,1.461822
0.646280,1.485000
0.696640,1.507843
0.747000,1.530237
0.797360,1.552373
0.847720,1.574401
0.898080,1.596117
0.948440,1.617321
0.998800,1.637810
1.049160,1.657382
1.099520,1.675946
1.149880,1.693692
1.200240,1.710680
1.250600,1.726956
1.300960,1.742572
1.351320,1.757576
1.401680,1.772011
1.452040,1.785799
1.502400,1.798928
1.552760,1.811416
1.603120,1.823284
1.653480,1.834550
1.703840,1.845227
1.754200,1.854990
1.804560,1.863884
1.854920,1.872207
1.905280,1.880256
1.955640,1.888328
2.006000,1.896721
