# Kodak H-1-5203t, revised 7-15, page 4 Spectral Sensitivity Curves; vector-path digitisation. See SOURCES.md.
wavelengthNM,red,green,blue
400,0.000000,0.000000,29.361547
410,0.000000,0.000000,35.789983
420,0.000000,0.000000,34.346844
430,0.000000,0.000000,37.446508
440,0.000000,0.000000,40.687098
450,0.000000,0.000000,39.019555
460,0.000000,0.000000,48.486793
470,0.000000,0.000000,65.706766
480,0.000000,1.331388,25.908144
490,0.000000,4.586586,2.280556
500,0.000000,8.615439,0.000000
510,0.000000,11.966794,0.000000
520,0.000000,16.674064,0.000000
530,0.000000,23.437075,0.000000
540,0.000000,33.005681,0.000000
550,0.000000,40.427735,0.000000
560,0.000000,28.886893,0.000000
570,0.000000,20.997989,0.000000
580,2.370569,13.288581,0.000000
590,6.967997,1.983502,0.000000
600,13.053225,0.000000,0.000000
610,18.542885,0.000000,0.000000
620,19.273504,0.000000,0.000000
630,23.503480,0.000000,0.000000
640,31.217062,0.000000,0.000000
650,35.966490,0.000000,0.000000
660,28.384042,0.000000,0.000000
670,5.941899,0.000000,0.000000
680,0.000000,0.000000,0.000000
690,0.000000,0.000000,0.000000
700,0.000000,0.000000,0.000000
